League,Time,Home,Score,Away,Fouls,Yellow Card,Red Card,Possession,Shots (OT),Passes (Success),Pass Success%,Dribbles,Rating,League,Time,Home,Score,Away,Corners,Offsides,Head(Success),saves,Tackles,Off Target,Blocked,Throws,Rating
ENG PR,2016-12-26 23:00,Arsenal,1-0,West Bromwich(WBA),7,1,0,24%,2(0),243(166),68%,0.68,6.88,ENG PR,2016-12-26 23:00,Arsenal,1-0,West Bromwich(WBA),5,4,29(13),10,27,1,1,12,6.88
ENG PR,2016-12-18 01:30,West Bromwich(WBA),0-2,Manchester United,9,3,0,43%,10(1),412(308),75%,0.75,6.34,ENG PR,2016-12-18 01:30,West Bromwich(WBA),0-2,Manchester United,2,3,37(20),3,18,6,3,23,6.34
ENG PR,2016-12-15 04:00,West Bromwich(WBA),3-1,Swansea City,8,0,0,39%,15(6),351(255),73%,0.73,7.48,ENG PR,2016-12-15 04:00,West Bromwich(WBA),3-1,Swansea City,0,3,33(17),3,28,5,4,22,7.48
ENG PR,2016-12-11 20:00,Chelsea,1-0,West Bromwich(WBA),10,4,0,33%,5(0),283(183),65%,0.65,6.42,ENG PR,2016-12-11 20:00,Chelsea,1-0,West Bromwich(WBA),1,2,37(19),1,42,5,0,30,6.42
ENG PR,2016-12-03 23:00,West Bromwich(WBA),3-1,Watford,12,2,0,41%,11(3),301(182),60%,0.6,7.27,ENG PR,2016-12-03 23:00,West Bromwich(WBA),3-1,Watford,3,1,46(28),4,17,8,0,21,7.27
ENG PR,2016-11-26 23:00,Hull City,1-1,West Bromwich(WBA),10,2,0,47%,11(2),417(316),76%,0.76,6.76,ENG PR,2016-11-26 23:00,Hull City,1-1,West Bromwich(WBA),6,0,40(23),3,15,7,2,20,6.76
ENG PR,2016-11-22 04:00,West Bromwich(WBA),4-0,Burnley,12,0,0,45%,16(6),401(313),78%,0.78,7.46,ENG PR,2016-11-22 04:00,West Bromwich(WBA),4-0,Burnley,4,2,54(26),2,12,8,2,23,7.46
ENG PR,2016-11-07 00:30,Leicester City,1-2,West Bromwich(WBA),8,2,0,41%,11(5),357(245),69%,0.69,7.06,ENG PR,2016-11-07 00:30,Leicester City,1-2,West Bromwich(WBA),6,0,59(36),1,31,3,3,19,7.06
ENG PR,2016-10-29 22:00,West Bromwich(WBA),0-4,Manchester City,17,4,0,32%,8(1),277(218),79%,0.79,6.07,ENG PR,2016-10-29 22:00,West Bromwich(WBA),0-4,Manchester City,1,3,18(8),4,23,7,1,12,6.07
ENG PR,2016-10-23 00:30,Liverpool,2-1,West Bromwich(WBA),13,3,0,32%,6(1),317(202),64%,0.64,6.54,ENG PR,2016-10-23 00:30,Liverpool,2-1,West Bromwich(WBA),2,3,49(18),5,24,3,2,18,6.54
ENG PR,2016-10-15 22:00,West Bromwich(WBA),1-1,Tottenham Hotspur,14,2,0,28%,8(4),230(141),61%,0.61,6.82,ENG PR,2016-10-15 22:00,West Bromwich(WBA),1-1,Tottenham Hotspur,5,1,21(8),7,32,3,1,17,6.82
ENG PR,2016-10-01 22:00,Sunderland A.F.C,1-1,West Bromwich(WBA),13,3,0,44%,17(4),321(228),71%,0.71,6.69,ENG PR,2016-10-01 22:00,Sunderland A.F.C,1-1,West Bromwich(WBA),5,1,37(18),1,25,7,3,23,6.69
ENG PR,2016-09-24 22:00,Stoke City,1-1,West Bromwich(WBA),13,4,0,44%,9(3),319(218),68%,0.68,6.57,ENG PR,2016-09-24 22:00,Stoke City,1-1,West Bromwich(WBA),6,1,41(16),1,20,3,3,32,6.57
ENG PR,2016-09-17 22:00,West Bromwich(WBA),4-2,West Ham United,14,2,0,28%,8(6),254(185),73%,0.73,7,ENG PR,2016-09-17 22:00,West Bromwich(WBA),4-2,West Ham United,2,1,18(7),3,32,2,0,15,7
ENG PR,2016-09-10 22:00,Bournemouth AFC,1-0,West Bromwich(WBA),11,3,0,37%,12(2),272(187),69%,0.69,6.61,ENG PR,2016-09-10 22:00,Bournemouth AFC,1-0,West Bromwich(WBA),5,1,32(16),4,32,6,4,22,6.61
ENG PR,2016-08-28 20:30,West Bromwich(WBA),0-0,Middlesbrough,12,1,0,41%,13(2),350(259),74%,0.74,6.72,ENG PR,2016-08-28 20:30,West Bromwich(WBA),0-0,Middlesbrough,5,1,52(21),2,21,6,5,20,6.72
ENG PR,2016-08-20 22:00,West Bromwich(WBA),1-2,Everton,16,3,0,35%,5(3),282(174),62%,0.62,6.69,ENG PR,2016-08-20 22:00,West Bromwich(WBA),1-2,Everton,7,0,27(14),1,39,2,2,13,6.69
ENG PR,2016-08-13 22:00,Crystal Palace,0-1,West Bromwich(WBA),15,2,0,47%,3(1),242(142),59%,0.59,7.09,ENG PR,2016-08-13 22:00,Crystal Palace,0-1,West Bromwich(WBA),6,2,41(20),4,27,2,2,34,7.09
ENG PR,2016-05-15 22:00,West Bromwich(WBA),1-1,Liverpool,11,3,0,37%,13(1),281(188),67%,0.67,6.76,ENG PR,2016-05-15 22:00,West Bromwich(WBA),1-1,Liverpool,7,1,29(12),2,36,7,5,23,6.76
ENG PR,2016-05-07 22:00,Bournemouth AFC,1-1,West Bromwich(WBA),8,1,0,41%,12(4),250(177),71%,0.71,6.91,ENG PR,2016-05-07 22:00,Bournemouth AFC,1-1,West Bromwich(WBA),3,3,18(13),3,40,6,2,24,6.91
ENG PR,2016-04-30 22:00,West Bromwich(WBA),0-3,West Ham United,14,0,0,46%,9(4),332(224),67%,0.67,6.2,ENG PR,2016-04-30 22:00,West Bromwich(WBA),0-3,West Ham United,8,3,40(14),1,28,5,3,32,6.2
ENG PR,2016-04-26 03:00,Tottenham Hotspur,1-1,West Bromwich(WBA),13,1,0,39%,16(3),263(181),69%,0.69,6.78,ENG PR,2016-04-26 03:00,Tottenham Hotspur,1-1,West Bromwich(WBA),7,1,23(14),1,30,8,5,16,6.78
ENG PR,2016-04-22 02:45,Arsenal,2-0,West Bromwich(WBA),14,1,0,35%,8(1),276(187),68%,0.68,6.34,ENG PR,2016-04-22 02:45,Arsenal,2-0,West Bromwich(WBA),6,0,37(15),5,37,4,3,15,6.34
ENG PR,2016-04-16 22:00,West Bromwich(WBA),0-1,Watford,11,0,0,58%,9(4),425(315),74%,0.74,6.86,ENG PR,2016-04-16 22:00,West Bromwich(WBA),0-1,Watford,9,1,47(24),3,18,8,4,24,6.86
ENG PR,2016-04-10 00:30,Manchester City,2-1,West Bromwich(WBA),7,1,0,43%,10(2),317(232),73%,0.73,6.65,ENG PR,2016-04-10 00:30,Manchester City,2-1,West Bromwich(WBA),8,1,31(17),2,31,8,5,20,6.65
ENG PR,2016-04-02 22:00,Sunderland A.F.C,0-0,West Bromwich(WBA),13,2,0,43%,3(0),0(0),0%,0,6.83,ENG PR,2016-04-02 22:00,Sunderland A.F.C,0-0,West Bromwich(WBA),3,0,0(0),7,0,2,1,0,6.83
ENG PR,2016-03-19 23:00,West Bromwich(WBA),0-1,Norwich City,8,1,0,51%,8(0),356(224),63%,0.63,6.49,ENG PR,2016-03-19 23:00,West Bromwich(WBA),0-1,Norwich City,4,4,50(28),0,28,6,4,26,6.49
ENG PR,2016-03-06 23:59,West Bromwich(WBA),1-0,Manchester United,8,1,0,47%,11(2),439(311),71%,0.71,7.01,ENG PR,2016-03-06 23:59,West Bromwich(WBA),1-0,Manchester United,4,5,34(20),1,32,9,4,29,7.01
ENG PR,2016-03-02 03:45,Leicester City,2-2,West Bromwich(WBA),8,2,0,35%,9(2),268(168),63%,0.63,6.9,ENG PR,2016-03-02 03:45,Leicester City,2-2,West Bromwich(WBA),3,4,57(29),3,28,7,2,27,6.9
ENG PR,2016-02-28 01:30,West Bromwich(WBA),3-2,Crystal Palace,14,2,0,46%,11(6),370(266),72%,0.72,6.83,ENG PR,2016-02-28 01:30,West Bromwich(WBA),3-2,Crystal Palace,3,1,56(29),0,22,5,1,20,6.83
ENG PR,2016-02-13 23:00,Everton,0-1,West Bromwich(WBA),12,4,0,24%,5(1),208(119),57%,0.57,7.12,ENG PR,2016-02-13 23:00,Everton,0-1,West Bromwich(WBA),1,2,35(19),5,37,4,1,12,7.12
ENG PR,2016-02-06 23:00,Newcastle United,1-0,West Bromwich(WBA),12,3,0,31%,7(0),223(136),61%,0.61,6.58,ENG PR,2016-02-06 23:00,Newcastle United,1-0,West Bromwich(WBA),4,2,30(14),6,30,6,4,20,6.58
ENG PR,2016-02-03 04:00,West Bromwich(WBA),1-1,Swansea City,12,0,0,45%,17(6),368(269),73%,0.73,6.81,ENG PR,2016-02-03 04:00,West Bromwich(WBA),1-1,Swansea City,7,2,51(29),3,20,7,3,22,6.81
ENG PR,2016-01-23 23:00,West Bromwich(WBA),0-0,Aston Villa,7,0,0,39%,3(0),279(188),67%,0.67,6.98,ENG PR,2016-01-23 23:00,West Bromwich(WBA),0-0,Aston Villa,2,1,42(19),4,30,3,1,23,6.98
ENG PR,2016-01-16 23:00,Southampton,3-0,West Bromwich(WBA),11,0,0,44%,9(0),348(254),73%,0.73,6.29,ENG PR,2016-01-16 23:00,Southampton,3-0,West Bromwich(WBA),3,4,34(21),1,24,7,2,22,6.29
ENG PR,2016-01-14 03:45,Chelsea,2-2,West Bromwich(WBA),8,3,0,38%,13(6),311(204),66%,0.66,6.79,ENG PR,2016-01-14 03:45,Chelsea,2-2,West Bromwich(WBA),7,1,39(15),1,34,4,3,17,6.79
ENG PR,2016-01-02 23:00,West Bromwich(WBA),2-1,Stoke City,7,1,0,46%,16(5),363(268),74%,0.74,6.87,ENG PR,2016-01-02 23:00,West Bromwich(WBA),2-1,Stoke City,4,1,25(10),2,23,5,6,24,6.87
ENG PR,2015-12-28 23:00,West Bromwich(WBA),1-0,Newcastle United,7,0,0,52%,21(4),347(262),76%,0.76,7.24,ENG PR,2015-12-28 23:00,West Bromwich(WBA),1-0,Newcastle United,18,2,26(18),2,24,5,12,25,7.24
ENG PR,2015-12-26 23:00,Swansea City,1-0,West Bromwich(WBA),13,3,0,43%,9(3),373(267),72%,0.72,6.31,ENG PR,2015-12-26 23:00,Swansea City,1-0,West Bromwich(WBA),7,2,17(11),1,20,3,3,36,6.31
ENG PR,2015-12-19 23:00,West Bromwich(WBA),1-2,Bournemouth AFC,12,2,2,32%,6(2),248(176),71%,0.71,6.4,ENG PR,2015-12-19 23:00,West Bromwich(WBA),1-2,Bournemouth AFC,4,1,22(11),5,25,2,2,25,6.4
ENG PR,2015-12-13 23:59,Liverpool,2-2,West Bromwich(WBA),10,0,0,30%,4(2),270(171),63%,0.63,6.9,ENG PR,2015-12-13 23:59,Liverpool,2-2,West Bromwich(WBA),4,1,31(18),6,24,2,0,16,6.9
ENG PR,2015-12-05 23:00,West Bromwich(WBA),1-1,Tottenham Hotspur,13,3,0,35%,11(4),275(178),65%,0.65,6.93,ENG PR,2015-12-05 23:00,West Bromwich(WBA),1-1,Tottenham Hotspur,3,2,24(14),2,33,3,4,24,6.93
ENG PR,2015-11-29 22:05,West Ham United,1-1,West Bromwich(WBA),16,2,0,39%,7(3),269(190),71%,0.71,6.7,ENG PR,2015-11-29 22:05,West Ham United,1-1,West Bromwich(WBA),2,2,35(15),5,38,4,0,27,6.7
ENG PR,2015-11-21 23:00,West Bromwich(WBA),2-1,Arsenal,14,3,0,28%,4(1),253(166),66%,0.66,6.7,ENG PR,2015-11-21 23:00,West Bromwich(WBA),2-1,Arsenal,3,5,26(12),2,39,2,1,15,6.7
ENG PR,2015-11-07 23:00,Manchester United,2-0,West Bromwich(WBA),10,3,1,31%,2(0),297(186),63%,0.63,6.24,ENG PR,2015-11-07 23:00,Manchester United,2-0,West Bromwich(WBA),1,0,39(19),1,28,3,1,13,6.24
ENG PR,2015-10-31 23:00,West Bromwich(WBA),2-3,Leicester City,3,0,0,47%,14(4),323(233),72%,0.72,6.9,ENG PR,2015-10-31 23:00,West Bromwich(WBA),2-3,Leicester City,6,2,55(26),2,15,5,3,38,6.9
ENG PR,2015-10-24 22:00,Norwich City,0-1,West Bromwich(WBA),6,2,0,42%,7(4),312(194),62%,0.62,7.27,ENG PR,2015-10-24 22:00,Norwich City,0-1,West Bromwich(WBA),3,0,47(24),3,22,2,0,16,7.27
ENG PR,2015-10-17 22:00,West Bromwich(WBA),1-0,Sunderland A.F.C,12,2,0,57%,8(1),451(350),78%,0.78,6.93,ENG PR,2015-10-17 22:00,West Bromwich(WBA),1-0,Sunderland A.F.C,1,2,49(26),2,15,5,2,23,6.93
ENG PR,2015-10-03 19:45,Crystal Palace,2-0,West Bromwich(WBA),13,3,0,39%,7(2),302(189),63%,0.63,6.51,ENG PR,2015-10-03 19:45,Crystal Palace,2-0,West Bromwich(WBA),3,1,30(16),6,41,3,2,18,6.51
ENG PR,2015-09-29 03:00,West Bromwich(WBA),2-3,Everton,9,0,0,46%,9(4),398(289),73%,0.73,6.81,ENG PR,2015-09-29 03:00,West Bromwich(WBA),2-3,Everton,6,3,35(20),1,25,4,1,24,6.81
ENG PR,2015-09-19 22:00,Aston Villa,0-1,West Bromwich(WBA),11,3,0,40%,11(6),295(213),72%,0.72,7.18,ENG PR,2015-09-19 22:00,Aston Villa,0-1,West Bromwich(WBA),7,1,58(23),3,29,2,3,33,7.18
ENG PR,2015-09-12 22:00,West Bromwich(WBA),0-0,Southampton,5,1,0,35%,8(1),326(222),68%,0.68,6.77,ENG PR,2015-09-12 22:00,West Bromwich(WBA),0-0,Southampton,4,1,37(20),4,22,4,3,17,6.77
ENG PR,2015-08-29 22:00,Stoke City,0-1,West Bromwich(WBA),9,4,0,51%,15(5),454(393),87%,0.87,7.07,ENG PR,2015-08-29 22:00,Stoke City,0-1,West Bromwich(WBA),5,3,21(9),4,31,6,4,25,7.07
ENG PR,2015-08-23 20:30,West Bromwich(WBA),2-3,Chelsea,9,2,0,46%,15(6),373(284),76%,0.76,6.64,ENG PR,2015-08-23 20:30,West Bromwich(WBA),2-3,Chelsea,8,2,38(17),2,20,5,3,20,6.64
ENG PR,2015-08-15 22:00,Watford,0-0,West Bromwich(WBA),10,2,0,41%,6(0),276(189),68%,0.68,6.99,ENG PR,2015-08-15 22:00,Watford,0-0,West Bromwich(WBA),4,0,42(24),5,38,5,1,13,6.99
ENG PR,2015-08-11 03:00,West Bromwich(WBA),0-3,Manchester City,12,4,0,31%,9(2),325(266),82%,0.82,6.24,ENG PR,2015-08-11 03:00,West Bromwich(WBA),0-3,Manchester City,6,2,18(6),4,24,6,1,16,6.24
ENG PR,2015-05-24 22:00,Arsenal,4-1,West Bromwich(WBA),7,0,0,36%,14(5),361(286),79%,0.79,0,ENG PR,2015-05-24 22:00,Arsenal,4-1,West Bromwich(WBA),3,3,23(15),9,28,6,3,13,0
ENG PR,2015-05-19 03:00,West Bromwich(WBA),3-0,Chelsea,12,3,0,40%,9(5),419(365),87%,0.87,0,ENG PR,2015-05-19 03:00,West Bromwich(WBA),3-0,Chelsea,3,1,8(3),3,32,3,1,9,0
ENG PR,2015-05-09 22:00,Newcastle United,1-1,West Bromwich(WBA),17,3,0,38%,8(3),288(211),73%,0.73,0,ENG PR,2015-05-09 22:00,Newcastle United,1-1,West Bromwich(WBA),2,2,37(24),3,46,3,2,22,0
ENG PR,2015-05-03 00:30,Manchester United,0-1,West Bromwich(WBA),5,0,0,20%,6(3),181(99),55%,0.55,7,ENG PR,2015-05-03 00:30,Manchester United,0-1,West Bromwich(WBA),3,0,30(14),9,18,2,1,16,7
ENG PR,2015-04-25 22:00,West Bromwich(WBA),0-0,Liverpool,12,1,0,26%,10(4),228(122),54%,0.54,7.07,ENG PR,2015-04-25 22:00,West Bromwich(WBA),0-0,Liverpool,2,1,37(18),5,40,6,0,13,7.07
ENG PR,2015-04-18 22:00,Crystal Palace,0-2,West Bromwich(WBA),17,3,0,33%,8(4),218(132),61%,0.61,7.38,ENG PR,2015-04-18 22:00,Crystal Palace,0-2,West Bromwich(WBA),6,2,36(21),4,37,2,1,21,7.38
ENG PR,2015-04-11 22:00,West Bromwich(WBA),2-3,Leicester City,15,2,0,45%,8(5),293(186),63%,0.63,6.68,ENG PR,2015-04-11 22:00,West Bromwich(WBA),2-3,Leicester City,4,0,66(29),1,30,2,1,19,6.68
ENG PR,2015-04-04 22:00,West Bromwich(WBA),1-4,Queens Park Rangers (QPR),6,2,1,55%,21(6),446(328),74%,0.74,6.48,ENG PR,2015-04-04 22:00,West Bromwich(WBA),1-4,Queens Park Rangers (QPR),2,3,44(26),3,24,11,4,30,6.48
ENG PR,2015-03-21 20:45,Manchester City,3-0,West Bromwich(WBA),5,0,1,22%,3(0),216(139),64%,0.64,6.36,ENG PR,2015-03-21 20:45,Manchester City,3-0,West Bromwich(WBA),2,3,18(7),13,34,3,0,14,6.36
ENG PR,2015-03-14 23:00,West Bromwich(WBA),1-0,Stoke City,7,1,0,43%,14(5),285(214),75%,0.75,7.07,ENG PR,2015-03-14 23:00,West Bromwich(WBA),1-0,Stoke City,7,1,39(20),2,20,4,5,28,7.07
ENG PR,2015-03-04 03:45,Aston Villa,2-1,West Bromwich(WBA),13,4,0,48%,3(1),350(235),67%,0.67,6.46,ENG PR,2015-03-04 03:45,Aston Villa,2-1,West Bromwich(WBA),3,2,62(28),6,24,1,1,22,6.46
ENG PR,2015-02-28 23:00,West Bromwich(WBA),1-0,Southampton,10,2,0,39%,7(3),303(202),67%,0.67,6.94,ENG PR,2015-02-28 23:00,West Bromwich(WBA),1-0,Southampton,2,2,40(23),2,21,2,2,17,6.94
ENG PR,2015-02-21 23:00,Sunderland A.F.C,0-0,West Bromwich(WBA),12,2,0,40%,5(1),274(182),66%,0.66,6.81,ENG PR,2015-02-21 23:00,Sunderland A.F.C,0-0,West Bromwich(WBA),2,2,23(14),2,32,3,1,23,6.81
ENG PR,2015-02-12 04:00,West Bromwich(WBA),2-0,Swansea City,11,2,0,42%,11(4),296(220),74%,0.74,7.28,ENG PR,2015-02-12 04:00,West Bromwich(WBA),2-0,Swansea City,5,0,34(19),3,32,3,4,17,7.28
ENG PR,2015-02-08 20:00,Burnley,2-2,West Bromwich(WBA),15,4,0,48%,12(5),363(241),66%,0.66,6.74,ENG PR,2015-02-08 20:00,Burnley,2-2,West Bromwich(WBA),6,2,51(30),3,18,3,4,35,6.74
ENG PR,2015-01-31 23:00,West Bromwich(WBA),0-3,Tottenham Hotspur,8,2,0,43%,13(4),341(264),77%,0.77,6.25,ENG PR,2015-01-31 23:00,West Bromwich(WBA),0-3,Tottenham Hotspur,6,2,25(16),1,43,5,4,21,6.25
ENG PR,2015-01-20 04:00,Everton,0-0,West Bromwich(WBA),12,2,0,35%,5(0),299(218),73%,0.73,6.86,ENG PR,2015-01-20 04:00,Everton,0-0,West Bromwich(WBA),1,3,29(17),4,39,2,3,10,6.86
ENG PR,2015-01-10 23:00,West Bromwich(WBA),1-0,Hull City,5,1,0,56%,9(3),491(378),77%,0.77,7.02,ENG PR,2015-01-10 23:00,West Bromwich(WBA),1-0,Hull City,5,2,45(17),2,20,5,1,25,7.02
ENG PR,2015-01-01 23:00,West Ham United,1-1,West Bromwich(WBA),13,0,0,49%,14(3),481(378),79%,0.79,6.68,ENG PR,2015-01-01 23:00,West Ham United,1-1,West Bromwich(WBA),1,0,18(10),2,26,8,3,14,6.68
ENG PR,2014-12-28 23:00,Stoke City,2-0,West Bromwich(WBA),14,2,0,48%,15(4),391(296),76%,0.76,6.47,ENG PR,2014-12-28 23:00,Stoke City,2-0,West Bromwich(WBA),3,4,30(15),1,22,7,4,19,6.47
ENG PR,2014-12-26 23:00,West Bromwich(WBA),1-3,Manchester City,5,0,0,52%,18(6),455(357),78%,0.78,6.46,ENG PR,2014-12-26 23:00,West Bromwich(WBA),1-3,Manchester City,10,4,20(13),2,29,6,6,20,6.46
ENG PR,2014-12-20 23:00,Queens Park Rangers (QPR),3-2,West Bromwich(WBA),8,0,0,58%,16(6),431(292),68%,0.68,6.73,ENG PR,2014-12-20 23:00,Queens Park Rangers (QPR),3-2,West Bromwich(WBA),11,1,49(23),4,16,6,4,31,6.73
ENG PR,2014-12-13 23:00,West Bromwich(WBA),1-0,Aston Villa,17,4,0,50%,13(5),394(334),85%,0.85,6.99,ENG PR,2014-12-13 23:00,West Bromwich(WBA),1-0,Aston Villa,4,1,27(8),2,24,6,2,30,6.99
ENG PR,2014-12-06 23:00,Hull City,0-0,West Bromwich(WBA),16,0,0,51%,6(3),515(406),79%,0.79,6.82,ENG PR,2014-12-06 23:00,Hull City,0-0,West Bromwich(WBA),2,1,38(24),2,17,1,2,22,6.82
ENG PR,2014-12-03 04:00,West Bromwich(WBA),1-2,West Ham United,11,2,0,59%,23(5),486(356),73%,0.73,6.83,ENG PR,2014-12-03 04:00,West Bromwich(WBA),1-2,West Ham United,7,0,51(21),4,15,9,9,25,6.83
ENG PR,2014-11-29 20:45,West Bromwich(WBA),0-1,Arsenal,9,2,0,46%,9(1),465(350),75%,0.75,6.58,ENG PR,2014-11-29 20:45,West Bromwich(WBA),0-1,Arsenal,4,4,49(23),4,31,5,3,24,6.58
ENG PR,2014-11-22 23:00,Chelsea,2-0,West Bromwich(WBA),9,0,1,32%,5(1),264(198),75%,0.75,6.45,ENG PR,2014-11-22 23:00,Chelsea,2-0,West Bromwich(WBA),0,2,20(9),6,26,4,0,17,6.45
ENG PR,2014-11-09 21:30,West Bromwich(WBA),0-2,Newcastle United,12,0,0,52%,10(2),523(427),82%,0.82,6.44,ENG PR,2014-11-09 21:30,West Bromwich(WBA),0-2,Newcastle United,7,1,38(23),1,38,5,3,32,6.44
ENG PR,2014-11-01 23:00,Leicester City,0-1,West Bromwich(WBA),7,1,0,43%,5(2),215(157),73%,0.73,6.47,ENG PR,2014-11-01 23:00,Leicester City,0-1,West Bromwich(WBA),3,4,29(10),5,20,2,1,13,6.47
ENG PR,2014-10-25 22:00,West Bromwich(WBA),2-2,Crystal Palace,14,3,0,65%,17(4),554(462),83%,0.83,6.74,ENG PR,2014-10-25 22:00,West Bromwich(WBA),2-2,Crystal Palace,6,1,43(23),4,22,8,5,25,6.74
ENG PR,2014-10-21 03:00,West Bromwich(WBA),2-2,Manchester United,6,1,0,37%,8(2),356(272),76%,0.76,6.91,ENG PR,2014-10-21 03:00,West Bromwich(WBA),2-2,Manchester United,0,0,17(3),5,19,4,2,15,6.91
ENG PR,2014-10-04 22:00,Liverpool,2-1,West Bromwich(WBA),15,2,0,45%,8(4),366(272),74%,0.74,6.63,ENG PR,2014-10-04 22:00,Liverpool,2-1,West Bromwich(WBA),5,2,24(11),5,30,4,0,16,6.63
ENG PR,2014-09-28 23:00,West Bromwich(WBA),4-0,Burnley,7,1,0,63%,20(6),619(530),86%,0.86,7.67,ENG PR,2014-09-28 23:00,West Bromwich(WBA),4-0,Burnley,10,2,39(19),2,8,6,8,20,7.67
ENG PR,2014-09-21 20:30,Tottenham Hotspur,0-1,West Bromwich(WBA),6,2,0,38%,10(4),310(228),74%,0.74,0,ENG PR,2014-09-21 20:30,Tottenham Hotspur,0-1,West Bromwich(WBA),7,2,18(6),1,16,4,2,14,0
ENG PR,2014-09-13 22:00,West Bromwich(WBA),0-2,Everton,12,0,0,46%,0(1),381(302),79%,0.79,0,ENG PR,2014-09-13 22:00,West Bromwich(WBA),0-2,Everton,0,1,32(19),0,20,3,7,28,0
ENG PR,2014-08-30 22:00,Swansea City,3-0,West Bromwich(WBA),8,2,0,44%,16(2),0(0),0%,0,0,ENG PR,2014-08-30 22:00,Swansea City,3-0,West Bromwich(WBA),7,1,0(0),5,0,0,0,0,0
ENG PR,2014-08-23 22:00,Southampton,0-0,West Bromwich(WBA),15,2,0,42%,8(2),0(0),0%,0,0,ENG PR,2014-08-23 22:00,Southampton,0-0,West Bromwich(WBA),5,1,0(0),2,0,0,0,0,0
