League,Time,Home,Score,Away,Fouls,Yellow Card,Red Card,Possession,Shots (OT),Passes (Success),Pass Success%,Dribbles,Rating,League,Time,Home,Score,Away,Corners,Offsides,Head(Success),saves,Tackles,Off Target,Blocked,Throws,Rating
ENG PR,2017-04-16 20:30,West Bromwich(WBA),0-1,Liverpool,15,3,0,36%,8(2),312(212),68%,0.68,6.31,ENG PR,2017-04-16 20:30,West Bromwich(WBA),0-1,Liverpool,4,6,45(22),1,30,5,1,30,6.31
ENG PR,2017-04-08 22:00,West Bromwich(WBA),0-1,Southampton,12,2,0,42%,17(6),374(275),74%,0.74,6.55,ENG PR,2017-04-08 22:00,West Bromwich(WBA),0-1,Southampton,7,1,39(18),2,13,7,4,26,6.55
ENG PR,2017-04-05 02:45,Watford,2-0,West Bromwich(WBA),14,4,0,45%,18(2),337(259),77%,0.77,6.18,ENG PR,2017-04-05 02:45,Watford,2-0,West Bromwich(WBA),6,0,29(16),0,18,10,5,17,6.18
ENG PR,2017-04-01 22:00,Manchester United,0-0,West Bromwich(WBA),13,3,0,25%,3(1),261(160),61%,0.61,6.91,ENG PR,2017-04-01 22:00,Manchester United,0-0,West Bromwich(WBA),1,0,28(13),3,28,1,1,16,6.91
ENG PR,2017-03-18 20:30,West Bromwich(WBA),3-1,Arsenal,5,1,0,23%,12(8),219(130),59%,0.59,7.15,ENG PR,2017-03-18 20:30,West Bromwich(WBA),3-1,Arsenal,4,2,32(13),1,24,3,1,21,7.15
ENG PR,2017-03-11 23:00,Everton,3-0,West Bromwich(WBA),12,2,0,37%,6(3),350(247),71%,0.71,6.23,ENG PR,2017-03-11 23:00,Everton,3-0,West Bromwich(WBA),6,0,36(22),2,27,1,2,25,6.23
ENG PR,2017-03-04 23:00,West Bromwich(WBA),0-2,Crystal Palace,7,0,0,50%,12(2),369(264),72%,0.72,6.28,ENG PR,2017-03-04 23:00,West Bromwich(WBA),0-2,Crystal Palace,5,0,49(13),2,26,5,5,39,6.28
ENG PR,2017-02-25 23:00,West Bromwich(WBA),2-1,Bournemouth AFC,12,2,0,32%,14(4),297(215),72%,0.72,6.87,ENG PR,2017-02-25 23:00,West Bromwich(WBA),2-1,Bournemouth AFC,8,4,19(10),3,23,5,4,18,6.87
ENG PR,2017-02-11 23:00,West Ham United,2-2,West Bromwich(WBA),14,2,0,35%,8(2),282(183),65%,0.65,6.87,ENG PR,2017-02-11 23:00,West Ham United,2-2,West Bromwich(WBA),5,1,32(17),2,28,3,2,19,6.87
ENG PR,2017-02-04 23:00,West Bromwich(WBA),1-0,Stoke City,6,2,0,38%,16(4),312(220),71%,0.71,7.26,ENG PR,2017-02-04 23:00,West Bromwich(WBA),1-0,Stoke City,5,3,42(22),2,19,8,4,14,7.26
ENG PR,2017-02-01 03:45,Middlesbrough,1-1,West Bromwich(WBA),13,1,0,38%,20(7),284(199),70%,0.7,6.84,ENG PR,2017-02-01 03:45,Middlesbrough,1-1,West Bromwich(WBA),3,2,34(13),2,27,5,6,44,6.84
ENG PR,2017-01-21 23:00,West Bromwich(WBA),2-0,Sunderland A.F.C,15,1,0,44%,15(5),351(266),76%,0.76,7.24,ENG PR,2017-01-21 23:00,West Bromwich(WBA),2-0,Sunderland A.F.C,1,2,34(14),3,21,5,4,25,7.24
ENG PR,2017-01-14 20:30,Tottenham Hotspur,4-0,West Bromwich(WBA),12,2,0,27%,3(0),248(162),65%,0.65,5.89,ENG PR,2017-01-14 20:30,Tottenham Hotspur,4-0,West Bromwich(WBA),0,1,19(9),8,27,2,1,24,5.89
ENG PR,2017-01-02 23:00,West Bromwich(WBA),3-1,Hull City,5,0,0,41%,8(5),347(269),78%,0.78,7.19,ENG PR,2017-01-02 23:00,West Bromwich(WBA),3-1,Hull City,7,0,36(13),5,27,0,3,14,7.19
ENG PR,2016-12-31 23:00,Southampton,1-2,West Bromwich(WBA),17,3,0,32%,7(3),274(173),63%,0.63,6.95,ENG PR,2016-12-31 23:00,Southampton,1-2,West Bromwich(WBA),3,1,39(17),0,33,3,1,24,6.95
