League,Time,Home,Score,Away,Fouls,Yellow Card,Red Card,Possession,Shots (OT),Passes (Success),Pass Success%,Dribbles,Rating,League,Time,Home,Score,Away,Corners,Offsides,Head(Success),saves,Tackles,Off Target,Blocked,Throws,Rating
ENG PR,2016-10-15 22:00,West Bromwich(WBA),1-1,Tottenham Hotspur,10,2,0,72%,20(8),599(540),90%,0.9,6.99,ENG PR,2016-10-15 22:00,West Bromwich(WBA),1-1,Tottenham Hotspur,8,3,21(13),3,20,3,9,15,6.99
ENG PR,2016-10-02 21:15,Tottenham Hotspur,2-0,Manchester City,20,2,0,42%,13(7),342(247),72%,0.72,7.22,ENG PR,2016-10-02 21:15,Tottenham Hotspur,2-0,Manchester City,4,8,27(12),6,49,4,2,24,7.22
ENG PR,2016-09-24 22:00,Middlesbrough,1-2,Tottenham Hotspur,9,1,0,59%,19(5),552(454),82%,0.82,6.81,ENG PR,2016-09-24 22:00,Middlesbrough,1-2,Tottenham Hotspur,10,3,31(16),1,24,7,7,25,6.81
ENG PR,2016-09-18 23:30,Tottenham Hotspur,1-0,Sunderland A.F.C,7,1,0,74%,31(9),615(548),89%,0.89,7.18,ENG PR,2016-09-18 23:30,Tottenham Hotspur,1-0,Sunderland A.F.C,14,0,29(19),2,27,15,7,28,7.18
ENG PR,2016-09-10 22:00,Stoke City,0-4,Tottenham Hotspur,18,2,0,60%,20(8),508(426),84%,0.84,7.47,ENG PR,2016-09-10 22:00,Stoke City,0-4,Tottenham Hotspur,8,0,34(15),2,17,4,8,22,7.47
ENG PR,2016-08-27 19:30,Tottenham Hotspur,1-1,Liverpool,11,3,0,49%,11(4),420(306),73%,0.73,6.81,ENG PR,2016-08-27 19:30,Tottenham Hotspur,1-1,Liverpool,5,2,19(14),2,25,5,2,27,6.81
ENG PR,2016-08-20 22:00,Tottenham Hotspur,1-0,Crystal Palace,19,3,0,51%,16(4),441(354),80%,0.8,7.17,ENG PR,2016-08-20 22:00,Tottenham Hotspur,1-0,Crystal Palace,10,2,22(14),1,42,12,6,18,7.17
ENG PR,2016-08-13 22:00,Everton,1-1,Tottenham Hotspur,14,0,0,59%,4(1),485(387),80%,0.8,6.74,ENG PR,2016-08-13 22:00,Everton,1-1,Tottenham Hotspur,6,0,27(11),5,24,3,5,42,6.74
ENG PR,2016-05-15 22:00,Newcastle United,5-1,Tottenham Hotspur,6,2,0,62%,17(5),550(490),89%,0.89,6.21,ENG PR,2016-05-15 22:00,Newcastle United,5-1,Tottenham Hotspur,8,1,8(5),5,30,6,6,26,6.21
ENG PR,2016-05-08 20:30,Tottenham Hotspur,1-2,Southampton,8,0,0,70%,20(6),589(502),85%,0.85,6.72,ENG PR,2016-05-08 20:30,Tottenham Hotspur,1-2,Southampton,10,1,21(7),0,24,9,5,28,6.72
ENG PR,2016-05-03 03:00,Chelsea,2-2,Tottenham Hotspur,20,9,0,51%,16(5),406(326),80%,0.8,6.8,ENG PR,2016-05-03 03:00,Chelsea,2-2,Tottenham Hotspur,8,0,30(15),3,32,5,6,22,6.8
ENG PR,2016-04-26 03:00,Tottenham Hotspur,1-1,West Bromwich(WBA),8,0,0,61%,19(2),537(458),85%,0.85,6.81,ENG PR,2016-04-26 03:00,Tottenham Hotspur,1-1,West Bromwich(WBA),9,1,23(9),2,23,9,8,21,6.81
ENG PR,2016-04-19 03:00,Stoke City,0-4,Tottenham Hotspur,12,0,0,53%,23(6),396(316),80%,0.8,7.85,ENG PR,2016-04-19 03:00,Stoke City,0-4,Tottenham Hotspur,3,1,22(14),2,41,13,4,29,7.85
ENG PR,2016-04-10 23:30,Tottenham Hotspur,3-0,Manchester United,10,3,0,48%,16(8),392(280),71%,0.71,7.72,ENG PR,2016-04-10 23:30,Tottenham Hotspur,3-0,Manchester United,2,3,20(10),1,37,7,1,28,7.72
ENG PR,2016-04-03 00:30,Liverpool,1-1,Tottenham Hotspur,11,0,0,53%,14(5),458(361),79%,0.79,7.33,ENG PR,2016-04-03 00:30,Liverpool,1-1,Tottenham Hotspur,9,1,20(14),6,24,5,6,24,7.33
ENG PR,2016-03-20 23:59,Tottenham Hotspur,3-0,Bournemouth AFC,11,0,0,55%,17(8),598(519),87%,0.87,7.52,ENG PR,2016-03-20 23:59,Tottenham Hotspur,3-0,Bournemouth AFC,4,3,26(17),0,40,8,1,25,7.52
ENG PR,2016-03-13 23:59,Aston Villa,0-2,Tottenham Hotspur,6,0,0,62%,19(8),573(478),83%,0.83,7.37,ENG PR,2016-03-13 23:59,Aston Villa,0-2,Tottenham Hotspur,8,2,23(9),2,32,6,5,22,7.37
ENG PR,2016-03-05 20:45,Tottenham Hotspur,2-2,Arsenal,9,2,0,52%,25(13),420(313),75%,0.75,6.9,ENG PR,2016-03-05 20:45,Tottenham Hotspur,2-2,Arsenal,9,2,23(9),2,40,12,8,34,6.9
ENG PR,2016-03-03 03:45,West Ham United,1-0,Tottenham Hotspur,11,3,0,65%,10(4),495(367),74%,0.74,6.54,ENG PR,2016-03-03 03:45,West Ham United,1-0,Tottenham Hotspur,3,2,42(22),2,42,6,1,29,6.54
ENG PR,2016-02-28 22:05,Tottenham Hotspur,2-1,Swansea City,11,2,0,57%,16(8),452(350),77%,0.77,7.14,ENG PR,2016-02-28 22:05,Tottenham Hotspur,2-1,Swansea City,7,3,31(19),3,15,14,6,35,7.14
ENG PR,2016-02-15 00:15,Manchester City,1-2,Tottenham Hotspur,17,3,0,54%,6(3),563(463),82%,0.82,7.06,ENG PR,2016-02-15 00:15,Manchester City,1-2,Tottenham Hotspur,1,1,28(11),3,43,2,1,17,7.06
ENG PR,2016-02-06 23:00,Tottenham Hotspur,1-0,Watford,12,0,0,66%,26(9),550(449),82%,0.82,7.14,ENG PR,2016-02-06 23:00,Tottenham Hotspur,1-0,Watford,15,2,24(12),0,22,8,9,22,7.14
ENG PR,2016-02-03 03:45,Norwich City,0-3,Tottenham Hotspur,9,2,0,54%,17(6),424(318),75%,0.75,7.47,ENG PR,2016-02-03 03:45,Norwich City,0-3,Tottenham Hotspur,8,0,29(12),2,28,8,3,23,7.47
ENG PR,2016-01-23 23:00,Crystal Palace,1-3,Tottenham Hotspur,12,2,0,64%,24(11),533(437),82%,0.82,7.27,ENG PR,2016-01-23 23:00,Crystal Palace,1-3,Tottenham Hotspur,10,2,34(19),2,23,6,7,29,7.27
ENG PR,2016-01-16 20:45,Tottenham Hotspur,4-1,Sunderland A.F.C,8,0,0,68%,25(11),615(517),84%,0.84,7.38,ENG PR,2016-01-16 20:45,Tottenham Hotspur,4-1,Sunderland A.F.C,11,1,21(13),1,22,9,6,24,7.38
ENG PR,2016-01-14 04:00,Tottenham Hotspur,0-1,Leicester City,13,1,0,61%,21(5),446(352),79%,0.79,6.65,ENG PR,2016-01-14 04:00,Tottenham Hotspur,0-1,Leicester City,16,2,44(27),1,21,5,11,34,6.65
ENG PR,2016-01-03 23:59,Everton,1-1,Tottenham Hotspur,11,2,0,59%,19(4),604(508),84%,0.84,6.85,ENG PR,2016-01-03 23:59,Everton,1-1,Tottenham Hotspur,4,1,24(9),2,38,4,11,23,6.85
ENG PR,2015-12-28 23:00,Watford,1-2,Tottenham Hotspur,13,2,0,63%,10(3),525(410),78%,0.78,6.91,ENG PR,2015-12-28 23:00,Watford,1-2,Tottenham Hotspur,3,1,37(16),1,17,7,0,35,6.91
ENG PR,2015-12-26 23:00,Tottenham Hotspur,3-0,Norwich City,4,1,0,60%,15(10),535(428),80%,0.8,7.46,ENG PR,2015-12-26 23:00,Tottenham Hotspur,3-0,Norwich City,9,3,29(18),3,21,3,2,25,7.46
ENG PR,2015-12-19 23:00,Southampton,0-2,Tottenham Hotspur,9,1,0,49%,13(6),385(278),72%,0.72,7.48,ENG PR,2015-12-19 23:00,Southampton,0-2,Tottenham Hotspur,7,2,39(19),4,27,4,3,30,7.48
ENG PR,2015-12-13 23:59,Tottenham Hotspur,1-2,Newcastle United,13,2,0,58%,20(8),474(362),76%,0.76,6.68,ENG PR,2015-12-13 23:59,Tottenham Hotspur,1-2,Newcastle United,6,2,28(15),2,22,7,5,40,6.68
ENG PR,2015-12-05 23:00,West Bromwich(WBA),1-1,Tottenham Hotspur,10,2,0,65%,9(3),554(463),84%,0.84,6.82,ENG PR,2015-12-05 23:00,West Bromwich(WBA),1-1,Tottenham Hotspur,6,1,24(10),3,21,2,4,20,6.82
ENG PR,2015-11-29 20:00,Tottenham Hotspur,0-0,Chelsea,14,4,0,57%,9(4),491(388),79%,0.79,6.86,ENG PR,2015-11-29 20:00,Tottenham Hotspur,0-0,Chelsea,4,2,21(11),1,16,2,3,38,6.86
ENG PR,2015-11-22 23:59,Tottenham Hotspur,4-1,West Ham United,13,2,0,56%,22(12),483(393),81%,0.81,7.54,ENG PR,2015-11-22 23:59,Tottenham Hotspur,4-1,West Ham United,7,3,18(9),3,35,5,5,25,7.54
ENG PR,2015-11-08 23:59,Arsenal,1-1,Tottenham Hotspur,17,1,0,45%,14(4),380(287),76%,0.76,6.91,ENG PR,2015-11-08 23:59,Arsenal,1-1,Tottenham Hotspur,6,3,25(13),3,28,7,3,24,6.91
ENG PR,2015-11-03 04:00,Tottenham Hotspur,3-1,Aston Villa,6,0,0,62%,15(6),531(432),81%,0.81,7.19,ENG PR,2015-11-03 04:00,Tottenham Hotspur,3-1,Aston Villa,4,3,38(17),1,32,4,7,33,7.19
ENG PR,2015-10-25 22:05,Bournemouth AFC,1-5,Tottenham Hotspur,15,1,0,55%,14(9),489(403),82%,0.82,7.46,ENG PR,2015-10-25 22:05,Bournemouth AFC,1-5,Tottenham Hotspur,5,5,30(18),1,31,2,3,23,7.46
ENG PR,2015-10-17 19:45,Tottenham Hotspur,0-0,Liverpool,10,1,0,48%,12(4),352(265),75%,0.75,6.78,ENG PR,2015-10-17 19:45,Tottenham Hotspur,0-0,Liverpool,7,1,28(11),3,42,4,5,30,6.78
ENG PR,2015-10-04 23:00,Swansea City,2-2,Tottenham Hotspur,19,4,0,55%,19(11),484(408),84%,0.84,6.75,ENG PR,2015-10-04 23:00,Swansea City,2-2,Tottenham Hotspur,6,0,22(5),1,26,4,4,13,6.75
ENG PR,2015-09-26 19:45,Tottenham Hotspur,4-1,Manchester City,17,5,0,47%,15(8),407(292),72%,0.72,7.64,ENG PR,2015-09-26 19:45,Tottenham Hotspur,4-1,Manchester City,5,5,38(16),7,35,3,4,31,7.64
ENG PR,2015-09-20 20:30,Tottenham Hotspur,1-0,Crystal Palace,9,1,0,57%,22(6),436(357),82%,0.82,7.31,ENG PR,2015-09-20 20:30,Tottenham Hotspur,1-0,Crystal Palace,6,3,25(8),4,42,6,10,30,7.31
ENG PR,2015-09-13 20:30,Sunderland A.F.C,0-1,Tottenham Hotspur,12,1,0,56%,15(4),411(326),79%,0.79,7.05,ENG PR,2015-09-13 20:30,Sunderland A.F.C,0-1,Tottenham Hotspur,8,0,33(9),2,33,6,5,30,7.05
ENG PR,2015-08-30 00:30,Tottenham Hotspur,0-0,Everton,20,4,0,50%,20(6),439(370),84%,0.84,6.89,ENG PR,2015-08-30 00:30,Tottenham Hotspur,0-0,Everton,6,3,26(15),3,34,8,6,16,6.89
ENG PR,2015-08-22 22:00,Leicester City,1-1,Tottenham Hotspur,14,4,0,65%,19(6),520(437),84%,0.84,6.82,ENG PR,2015-08-22 22:00,Leicester City,1-1,Tottenham Hotspur,7,0,37(23),1,26,9,4,26,6.82
ENG PR,2015-08-15 22:00,Tottenham Hotspur,2-2,Stoke City,15,2,0,53%,13(7),496(404),81%,0.81,7.13,ENG PR,2015-08-15 22:00,Tottenham Hotspur,2-2,Stoke City,4,3,30(18),5,27,2,4,35,7.13
ENG PR,2015-08-08 19:45,Manchester United,1-0,Tottenham Hotspur,12,3,0,50%,9(4),481(387),80%,0.8,6.69,ENG PR,2015-08-08 19:45,Manchester United,1-0,Tottenham Hotspur,2,2,18(11),1,27,2,3,23,6.69
ENG PR,2015-05-24 22:00,Everton,0-1,Tottenham Hotspur,8,2,0,59%,16(3),617(517),84%,0.84,0,ENG PR,2015-05-24 22:00,Everton,0-1,Tottenham Hotspur,5,4,34(19),1,25,4,9,21,0
ENG PR,2015-05-16 22:00,Tottenham Hotspur,2-0,Hull City,10,3,0,56%,10(2),520(424),82%,0.82,0,ENG PR,2015-05-16 22:00,Tottenham Hotspur,2-0,Hull City,6,0,29(14),1,22,3,4,17,0
ENG PR,2015-05-09 22:00,Stoke City,3-0,Tottenham Hotspur,12,2,1,55%,9(3),425(338),80%,0.8,0,ENG PR,2015-05-09 22:00,Stoke City,3-0,Tottenham Hotspur,8,1,24(14),6,17,3,3,27,0
ENG PR,2015-05-03 23:00,Tottenham Hotspur,0-1,Manchester City,6,3,0,55%,15(5),484(380),79%,0.79,0,ENG PR,2015-05-03 23:00,Tottenham Hotspur,0-1,Manchester City,8,2,26(14),3,32,11,5,31,0
ENG PR,2015-04-25 19:45,Southampton,2-2,Tottenham Hotspur,10,3,0,64%,7(2),603(496),82%,0.82,0,ENG PR,2015-04-25 19:45,Southampton,2-2,Tottenham Hotspur,3,2,24(12),2,25,2,3,23,0
ENG PR,2015-04-19 23:00,Newcastle United,1-3,Tottenham Hotspur,13,4,0,50%,14(8),544(448),82%,0.82,0,ENG PR,2015-04-19 23:00,Newcastle United,1-3,Tottenham Hotspur,3,5,26(14),4,35,3,3,27,0
ENG PR,2015-04-11 22:00,Tottenham Hotspur,0-1,Aston Villa,11,3,0,56%,14(3),468(365),78%,0.78,0,ENG PR,2015-04-11 22:00,Tottenham Hotspur,0-1,Aston Villa,9,5,35(14),2,26,9,2,24,0
ENG PR,2015-04-05 20:30,Burnley,0-0,Tottenham Hotspur,5,0,0,60%,12(2),538(421),78%,0.78,0,ENG PR,2015-04-05 20:30,Burnley,0-0,Tottenham Hotspur,3,3,58(25),4,23,8,2,30,0
ENG PR,2015-03-21 23:00,Tottenham Hotspur,4-3,Leicester City,8,2,0,62%,10(4),572(460),80%,0.8,0,ENG PR,2015-03-21 23:00,Tottenham Hotspur,4-3,Leicester City,4,1,41(23),2,35,5,1,31,0
ENG PR,2015-03-15 23:59,Manchester United,3-0,Tottenham Hotspur,10,1,0,48%,5(1),476(391),82%,0.82,0,ENG PR,2015-03-15 23:59,Manchester United,3-0,Tottenham Hotspur,2,4,23(11),0,31,2,2,28,0
ENG PR,2015-03-07 23:00,Queens Park Rangers (QPR),1-2,Tottenham Hotspur,12,2,0,57%,13(6),451(334),74%,0.74,0,ENG PR,2015-03-07 23:00,Queens Park Rangers (QPR),1-2,Tottenham Hotspur,5,3,44(24),5,28,6,1,38,0
ENG PR,2015-03-05 03:45,Tottenham Hotspur,3-2,Swansea City,14,1,0,57%,20(7),632(555),88%,0.88,0,ENG PR,2015-03-05 03:45,Tottenham Hotspur,3-2,Swansea City,6,2,32(18),3,25,4,9,19,0
ENG PR,2015-02-22 20:00,Tottenham Hotspur,2-2,West Ham United,6,0,0,60%,27(8),519(423),82%,0.82,0,ENG PR,2015-02-22 20:00,Tottenham Hotspur,2-2,West Ham United,7,2,34(10),3,33,12,7,32,0
ENG PR,2015-02-11 04:00,Liverpool,3-2,Tottenham Hotspur,17,6,0,49%,14(5),410(307),75%,0.75,0,ENG PR,2015-02-11 04:00,Liverpool,3-2,Tottenham Hotspur,7,1,32(18),4,36,3,6,23,0
ENG PR,2015-02-07 20:45,Tottenham Hotspur,2-1,Arsenal,8,3,0,54%,23(8),486(378),78%,0.78,0,ENG PR,2015-02-07 20:45,Tottenham Hotspur,2-1,Arsenal,10,6,48(18),2,32,10,5,26,0
ENG PR,2015-01-31 23:00,West Bromwich(WBA),0-3,Tottenham Hotspur,13,1,0,57%,14(4),616(526),85%,0.85,0,ENG PR,2015-01-31 23:00,West Bromwich(WBA),0-3,Tottenham Hotspur,3,1,25(9),4,23,7,3,18,0
ENG PR,2015-01-17 23:00,Tottenham Hotspur,2-1,Sunderland A.F.C,14,1,0,62%,25(8),567(485),86%,0.86,0,ENG PR,2015-01-17 23:00,Tottenham Hotspur,2-1,Sunderland A.F.C,6,3,31(16),3,27,7,10,20,0
ENG PR,2015-01-11 01:30,Crystal Palace,2-1,Tottenham Hotspur,14,3,0,54%,9(5),537(427),80%,0.8,0,ENG PR,2015-01-11 01:30,Crystal Palace,2-1,Tottenham Hotspur,6,1,40(19),5,27,3,1,19,0
ENG PR,2015-01-02 01:30,Tottenham Hotspur,5-3,Chelsea,14,3,0,46%,11(8),421(318),76%,0.76,0,ENG PR,2015-01-02 01:30,Tottenham Hotspur,5-3,Chelsea,5,1,27(15),4,41,2,1,23,0
ENG PR,2014-12-28 20:00,Tottenham Hotspur,0-0,Manchester United,11,2,0,51%,9(4),376(251),67%,0.67,0,ENG PR,2014-12-28 20:00,Tottenham Hotspur,0-0,Manchester United,3,1,39(21),5,31,3,2,32,0
ENG PR,2014-12-26 23:00,Leicester City,1-2,Tottenham Hotspur,14,2,0,49%,8(3),455(341),75%,0.75,0,ENG PR,2014-12-26 23:00,Leicester City,1-2,Tottenham Hotspur,1,3,42(19),5,30,4,1,33,0
ENG PR,2014-12-20 23:00,Tottenham Hotspur,2-1,Burnley,9,1,0,59%,23(6),612(492),80%,0.8,0,ENG PR,2014-12-20 23:00,Tottenham Hotspur,2-1,Burnley,9,2,41(28),4,29,11,6,23,0
ENG PR,2014-12-14 23:59,Swansea City,1-2,Tottenham Hotspur,17,4,0,47%,10(4),422(321),76%,0.76,0,ENG PR,2014-12-14 23:59,Swansea City,1-2,Tottenham Hotspur,9,0,35(18),2,33,3,3,22,0
ENG PR,2014-12-06 23:00,Tottenham Hotspur,0-0,Crystal Palace,11,1,0,61%,14(3),606(499),82%,0.82,0,ENG PR,2014-12-06 23:00,Tottenham Hotspur,0-0,Crystal Palace,2,1,51(27),4,42,8,3,24,0
ENG PR,2014-12-04 03:45,Chelsea,3-0,Tottenham Hotspur,9,1,0,59%,10(2),604(523),87%,0.87,0,ENG PR,2014-12-04 03:45,Chelsea,3-0,Tottenham Hotspur,6,2,16(8),5,44,7,1,18,0
ENG PR,2014-11-30 23:59,Tottenham Hotspur,2-1,Everton,15,5,0,40%,13(6),384(315),82%,0.82,0,ENG PR,2014-11-30 23:59,Tottenham Hotspur,2-1,Everton,3,2,22(13),4,38,4,3,17,0
ENG PR,2014-11-23 23:59,Hull City,1-2,Tottenham Hotspur,9,1,0,70%,23(6),606(523),86%,0.86,0,ENG PR,2014-11-23 23:59,Hull City,1-2,Tottenham Hotspur,9,1,32(12),1,19,8,9,21,0
ENG PR,2014-11-09 21:30,Tottenham Hotspur,1-2,Stoke City,20,3,1,58%,14(4),427(343),80%,0.8,0,ENG PR,2014-11-09 21:30,Tottenham Hotspur,1-2,Stoke City,5,1,41(19),2,38,7,3,26,0
ENG PR,2014-11-02 23:59,Aston Villa,1-2,Tottenham Hotspur,11,3,0,57%,18(7),505(410),81%,0.81,0,ENG PR,2014-11-02 23:59,Aston Villa,1-2,Tottenham Hotspur,9,1,36(14),0,21,6,5,14,0
ENG PR,2014-10-26 21:30,Tottenham Hotspur,1-2,Newcastle United,9,2,0,63%,17(2),550(446),81%,0.81,0,ENG PR,2014-10-26 21:30,Tottenham Hotspur,1-2,Newcastle United,10,1,31(14),0,32,8,7,32,0
ENG PR,2014-10-18 19:45,Manchester City,4-1,Tottenham Hotspur,9,2,1,43%,19(7),376(286),76%,0.76,0,ENG PR,2014-10-18 19:45,Manchester City,4-1,Tottenham Hotspur,4,2,12(6),8,36,4,8,14,0
ENG PR,2014-10-05 21:05,Tottenham Hotspur,1-0,Southampton,15,2,0,45%,9(4),355(274),77%,0.77,0,ENG PR,2014-10-05 21:05,Tottenham Hotspur,1-0,Southampton,10,6,25(14),3,20,3,2,35,0
ENG PR,2014-09-28 00:30,Arsenal,1-1,Tottenham Hotspur,16,6,0,31%,6(4),278(201),72%,0.72,0,ENG PR,2014-09-28 00:30,Arsenal,1-1,Tottenham Hotspur,5,2,24(9),0,23,2,0,14,0
ENG PR,2014-09-21 20:30,Tottenham Hotspur,0-1,West Bromwich(WBA),12,2,0,62%,5(1),505(411),81%,0.81,0,ENG PR,2014-09-21 20:30,Tottenham Hotspur,0-1,West Bromwich(WBA),9,0,18(12),3,12,3,1,24,0
ENG PR,2014-09-13 22:00,Sunderland A.F.C,2-2,Tottenham Hotspur,13,0,0,63%,0(6),550(480),87%,0.87,0,ENG PR,2014-09-13 22:00,Sunderland A.F.C,2-2,Tottenham Hotspur,0,1,19(7),0,29,3,6,21,0
ENG PR,2014-08-31 20:30,Tottenham Hotspur,0-3,Liverpool,14,0,0,61%,7(1),0(0),0%,0,0,ENG PR,2014-08-31 20:30,Tottenham Hotspur,0-3,Liverpool,7,3,0(0),5,0,0,0,0,0
ENG PR,2014-08-24 20:30,Tottenham Hotspur,4-0,Queens Park Rangers (QPR),12,0,0,66%,18(5),0(0),0%,0,0,ENG PR,2014-08-24 20:30,Tottenham Hotspur,4-0,Queens Park Rangers (QPR),7,1,0(0),1,0,0,0,0,0
ENG PR,2014-08-16 22:00,West Ham United,0-1,Tottenham Hotspur,10,0,1,53%,10(4),0(0),0%,0,0,ENG PR,2014-08-16 22:00,West Ham United,0-1,Tottenham Hotspur,5,0,0(0),4,0,0,0,0,0
ENG PR,2014-05-11 22:00,Tottenham Hotspur,3-0,Aston Villa,11,1,0,55%,12(6),0(0),0%,0,0,ENG PR,2014-05-11 22:00,Tottenham Hotspur,3-0,Aston Villa,5,7,0(0),1,0,0,0,0,0
