League,Time,Home,Score,Away,Fouls,Yellow Card,Red Card,Possession,Shots (OT),Passes (Success),Pass Success%,Dribbles,Rating,League,Time,Home,Score,Away,Corners,Offsides,Head(Success),saves,Tackles,Off Target,Blocked,Throws,Rating
ENG PR,2014-05-03 19:45,West Ham United,2-0,Tottenham Hotspur,16,4,1,53%,12(3),0(0),0%,0,0,ENG PR,2014-05-03 19:45,West Ham United,2-0,Tottenham Hotspur,6,0,0(0),7,0,0,0,0,0
ENG PR,2014-04-26 22:00,Stoke City,0-1,Tottenham Hotspur,6,2,0,49%,16(4),0(0),0%,0,0,ENG PR,2014-04-26 22:00,Stoke City,0-1,Tottenham Hotspur,3,2,0(0),3,0,0,0,0,0
ENG PR,2014-04-19 19:45,Tottenham Hotspur,3-1,Fulham,8,0,1,62%,14(5),0(0),0%,0,0,ENG PR,2014-04-19 19:45,Tottenham Hotspur,3-1,Fulham,4,2,0(0),3,0,0,0,0,0
ENG PR,2014-04-12 22:05,West Bromwich(WBA),3-3,Tottenham Hotspur,8,2,0,68%,20(8),0(0),0%,0,0,ENG PR,2014-04-12 22:05,West Bromwich(WBA),3-3,Tottenham Hotspur,2,3,0(0),2,0,0,0,0,0
ENG PR,2014-04-08 03:00,Tottenham Hotspur,5-1,Sunderland A.F.C,12,0,1,61%,29(11),0(0),0%,0,0,ENG PR,2014-04-08 03:00,Tottenham Hotspur,5-1,Sunderland A.F.C,8,2,0(0),3,0,0,0,0,0
ENG PR,2014-03-30 23:00,Liverpool,4-0,Tottenham Hotspur,9,2,1,41%,15(4),0(0),0%,0,0,ENG PR,2014-03-30 23:00,Liverpool,4-0,Tottenham Hotspur,7,1,0(0),2,0,0,0,0,0
ENG PR,2014-03-23 21:30,Tottenham Hotspur,3-2,Southampton,9,1,0,51%,15(6),0(0),0%,0,0,ENG PR,2014-03-23 21:30,Tottenham Hotspur,3-2,Southampton,7,1,0(0),2,0,0,0,0,0
ENG PR,2014-03-16 23:59,Tottenham Hotspur,0-1,Arsenal,18,5,0,59%,17(2),0(0),0%,0,0,ENG PR,2014-03-16 23:59,Tottenham Hotspur,0-1,Arsenal,5,3,0(0),2,0,0,0,0,0
ENG PR,2014-03-09 01:30,Chelsea,4-0,Tottenham Hotspur,18,3,1,46%,6(2),0(0),0%,0,0,ENG PR,2014-03-09 01:30,Chelsea,4-0,Tottenham Hotspur,4,2,0(0),0,0,0,0,0,0
ENG PR,2014-03-03 00:30,Tottenham Hotspur,1-0,Cardiff City,11,1,0,61%,15(6),0(0),0%,0,0,ENG PR,2014-03-03 00:30,Tottenham Hotspur,1-0,Cardiff City,4,2,0(0),2,0,0,0,0,0
ENG PR,2014-02-23 23:59,Norwich City,1-0,Tottenham Hotspur,15,3,0,60%,9(2),0(0),0%,0,0,ENG PR,2014-02-23 23:59,Norwich City,1-0,Tottenham Hotspur,3,1,0(0),2,0,0,0,0,0
ENG PR,2014-02-13 03:45,Newcastle United,0-4,Tottenham Hotspur,11,0,0,51%,15(8),0(0),0%,0,0,ENG PR,2014-02-13 03:45,Newcastle United,0-4,Tottenham Hotspur,6,0,0(0),5,0,0,0,0,0
ENG PR,2014-02-09 21:30,Tottenham Hotspur,1-0,Everton,9,1,0,46%,8(2),0(0),0%,0,0,ENG PR,2014-02-09 21:30,Tottenham Hotspur,1-0,Everton,9,0,0(0),3,0,0,0,0,0
ENG PR,2014-02-01 23:00,Hull City,1-1,Tottenham Hotspur,9,1,0,62%,19(3),0(0),0%,0,0,ENG PR,2014-02-01 23:00,Hull City,1-1,Tottenham Hotspur,10,5,0(0),3,0,0,0,0,0
ENG PR,2014-01-30 03:45,Tottenham Hotspur,1-5,Manchester City,11,1,1,34%,4(2),0(0),0%,0,0,ENG PR,2014-01-30 03:45,Tottenham Hotspur,1-5,Manchester City,3,2,0(0),5,0,0,0,0,0
ENG PR,2014-01-19 21:30,Swansea City,1-3,Tottenham Hotspur,9,1,0,44%,11(5),0(0),0%,0,0,ENG PR,2014-01-19 21:30,Swansea City,1-3,Tottenham Hotspur,2,2,0(0),2,0,0,0,0,0
ENG PR,2014-01-11 23:00,Tottenham Hotspur,2-0,Crystal Palace,12,1,0,68%,10(4),0(0),0%,0,0,ENG PR,2014-01-11 23:00,Tottenham Hotspur,2-0,Crystal Palace,5,1,0(0),2,0,0,0,0,0
ENG PR,2014-01-02 01:30,Manchester United,1-2,Tottenham Hotspur,7,1,0,39%,9(4),0(0),0%,0,0,ENG PR,2014-01-02 01:30,Manchester United,1-2,Tottenham Hotspur,2,2,0(0),5,0,0,0,0,0
ENG PR,2013-12-29 23:59,Tottenham Hotspur,3-0,Stoke City,6,2,0,68%,20(7),0(0),0%,0,0,ENG PR,2013-12-29 23:59,Tottenham Hotspur,3-0,Stoke City,6,0,0(0),1,0,0,0,0,0
ENG PR,2013-12-26 23:00,Tottenham Hotspur,1-1,West Bromwich(WBA),8,3,0,64%,20(3),0(0),0%,0,0,ENG PR,2013-12-26 23:00,Tottenham Hotspur,1-1,West Bromwich(WBA),12,4,0(0),3,0,0,0,0,0
ENG PR,2013-12-22 21:30,Southampton,2-3,Tottenham Hotspur,18,1,0,43%,13(3),0(0),0%,0,0,ENG PR,2013-12-22 21:30,Southampton,2-3,Tottenham Hotspur,5,3,0(0),3,0,0,0,0,0
ENG PR,2013-12-15 23:59,Tottenham Hotspur,0-5,Liverpool,17,3,1,43%,9(0),0(0),0%,0,0,ENG PR,2013-12-15 23:59,Tottenham Hotspur,0-5,Liverpool,2,0,0(0),5,0,0,0,0,0
ENG PR,2013-12-08 01:30,Sunderland A.F.C,1-2,Tottenham Hotspur,9,0,0,53%,22(5),0(0),0%,0,0,ENG PR,2013-12-08 01:30,Sunderland A.F.C,1-2,Tottenham Hotspur,10,1,0(0),3,0,0,0,0,0
ENG PR,2013-12-05 04:00,Fulham,1-2,Tottenham Hotspur,16,1,1,60%,18(5),0(0),0%,0,0,ENG PR,2013-12-05 04:00,Fulham,1-2,Tottenham Hotspur,7,0,0(0),5,0,0,0,0,0
ENG PR,2013-12-01 20:00,Tottenham Hotspur,2-2,Manchester United,9,1,1,40%,10(4),0(0),0%,0,0,ENG PR,2013-12-01 20:00,Tottenham Hotspur,2-2,Manchester United,7,2,0(0),1,0,0,0,0,0
ENG PR,2013-11-24 21:30,Manchester City,6-0,Tottenham Hotspur,11,3,0,53%,13(5),0(0),0%,0,0,ENG PR,2013-11-24 21:30,Manchester City,6-0,Tottenham Hotspur,7,5,0(0),5,0,0,0,0,0
ENG PR,2013-11-10 20:00,Tottenham Hotspur,0-1,Newcastle United,5,1,0,65%,31(14),0(0),0%,0,0,ENG PR,2013-11-10 20:00,Tottenham Hotspur,0-1,Newcastle United,11,2,0(0),3,0,0,0,0,0
ENG PR,2013-11-03 21:30,Everton,0-0,Tottenham Hotspur,9,1,1,48%,16(6),0(0),0%,0,0,ENG PR,2013-11-03 21:30,Everton,0-0,Tottenham Hotspur,4,0,0(0),1,0,0,0,0,0
ENG PR,2013-10-27 23:59,Tottenham Hotspur,1-0,Hull City,13,3,0,66%,15(6),0(0),0%,0,0,ENG PR,2013-10-27 23:59,Tottenham Hotspur,1-0,Hull City,6,1,0(0),4,0,0,0,0,0
ENG PR,2013-10-20 23:00,Aston Villa,0-2,Tottenham Hotspur,12,4,0,63%,13(6),0(0),0%,0,0,ENG PR,2013-10-20 23:00,Aston Villa,0-2,Tottenham Hotspur,7,1,0(0),2,0,0,0,0,0
ENG PR,2013-10-06 23:00,Tottenham Hotspur,0-3,West Ham United,5,2,0,61%,14(4),0(0),0%,0,0,ENG PR,2013-10-06 23:00,Tottenham Hotspur,0-3,West Ham United,6,3,0(0),2,0,0,0,0,0
ENG PR,2013-09-28 19:45,Tottenham Hotspur,1-1,Chelsea,16,5,0,54%,12(4),0(0),0%,0,0,ENG PR,2013-09-28 19:45,Tottenham Hotspur,1-1,Chelsea,4,2,0(0),4,0,0,0,0,0
ENG PR,2013-09-22 23:00,Cardiff City,0-1,Tottenham Hotspur,8,4,2,64%,29(12),0(0),0%,0,0,ENG PR,2013-09-22 23:00,Cardiff City,0-1,Tottenham Hotspur,12,1,0(0),0,0,0,0,0,0
ENG PR,2013-09-14 22:00,Tottenham Hotspur,2-0,Norwich City,4,1,1,69%,23(7),0(0),0%,0,0,ENG PR,2013-09-14 22:00,Tottenham Hotspur,2-0,Norwich City,8,1,0(0),1,0,0,0,0,0
ENG PR,2013-09-01 23:00,Arsenal,1-0,Tottenham Hotspur,14,2,1,57%,14(5),0(0),0%,0,0,ENG PR,2013-09-01 23:00,Arsenal,1-0,Tottenham Hotspur,6,0,0(0),4,0,0,0,0,0
ENG PR,2013-08-25 23:00,Tottenham Hotspur,1-0,Swansea City,10,1,0,48%,21(7),0(0),0%,0,0,ENG PR,2013-08-25 23:00,Tottenham Hotspur,1-0,Swansea City,8,0,0(0),5,0,0,0,0,0
ENG PR,2013-08-18 20:30,Crystal Palace,0-1,Tottenham Hotspur,8,0,1,58%,18(3),0(0),0%,0,0,ENG PR,2013-08-18 20:30,Crystal Palace,0-1,Tottenham Hotspur,7,0,0(0),3,0,0,0,0,0
