Position,Fullname,Cluster,Description
GK,Goal Keeper,1,Experienced players with good diving skills and admirable composures. Positioning and handling need to be improved
GK,Goal Keeper,2,Excellent plyers with well rounded skills in positioning and reflex
GK,Goal Keeper,3,Well rounded skills with outstanding kicking skills.
LB,Left Back,1,players of great speed and acceleration 
LB,Left Back,2,defensers with excellent physics
LB,Left Back,3,well rounded players with strong attacking abilities
RB,Right Back,1,Defenders with great physique with specialty in heaidng.
RB,Right Back,2,Top tier defenders who can assist in attacking with well rounded skils 
RB,Right Back,3,Defenders with outstanding speed and acceleration
CB,Central Back,1,"Central back player with great balance of attacking and defense. Have specialty in standing, sliding tackle."
CB,Central Back,2,Central defenders with good physique. Have specialty in heading and stamina
CB,Central Back,3,Players of great speed and acceleration as well as a good physical blance and agility.
LM,Left Midfielder,1,Midfielder with good vision for game and outstanding kicking skills in long shot and pass. Have specialty in freekick and orgnizing attacking 
LM,Left Midfielder,2,Midfieler who can move up to assist with great speed and acceleration
LM,Left Midfielder,3,Midfielder who turn defense into attack with quick tackles and their advantage in physique.
RM,Right Midfielder,1,Midfielder who turn defense into attack with quick tackles and their advantage in physique.
RM,Right Midfielder,2,Midfielder with good vision for game and outstanding kicking skills in long shot and pass. Have specialty in freekick and orgnizing attacking 
RM,Right Midfielder,3,Midfieler who can move up to assist with great speed and acceleration
CAM,Central Attacking Midfielder,1,"Central midfielders who brihgt in physical balance with excellent speed, acceleration and agility."
CAM,Central Attacking Midfielder,2,Central midfielders who are aggressive in defense and composed during important games . They are physically strong and can accelerate for quick counters strikes. 
CAM,Central Attacking Midfielder,3,"Central midfielders with excellent vision for the game. They can create chances for teammates by accurate and creative passing, freekick or shoot themselves. "
CDM,Central Defense Midfielder ,1,"Top tier midfielders with good ball controlling, dribbling and agile reactions. They can often assist attacking with their powerful long shot."
CDM,Central Defense Midfielder ,2,"Central midfielder who are good at marking in defense and outstanding skills in slide tackle and standing tackles. Their defense are characterized by their remarkable speed, jumping and acceleration"
CDM,Central Defense Midfielder ,3,Midfielders who are experience in intercepting and can survive the harshest games with their stamina and strength. Have specialty in heading.
CF,Central Forward,1,"Top tier midfielders with good ball controlling, dribbling and agile reactions. They can often assist attacking with their powerful long shot."
CF,Central Forward,2,Midfielder with great physical balance and agility in their moves.
CF,Central Forward,3,Central forward players with a passion for attacking and interception. They are fast and can jump high for heading
WING,Wings,1,Wingers who are aggressive in defense and composed during important games . They are physically strong and can accelerate for quick counters strikes. 
WING,Wings,2,"Wingers with excellent vision for the game. They can create chances for teammates by accurate and creative passing, freekick or shoot themselves. "
WING,Wings,3,Wingers with great physical balance and agility in their moves.
ST,Striker,1,target men with great passion for attacking and specialty in heading.
ST,Striker,2,poachers of high speed acceleration and great physical balance.
ST,Striker,3,"advance forward. Leader in attacking with great positioning. With their outstanding ball controlling, reaction and vision, they stand at the forefront to seek and create chances with their afility, passing accuracy and delicate touch of balls."
